-0.834-0.051i	-0.823+0.605i	-0.958-0.923i	 0.062+1.58i	-0.97+0.896i	 0.775+0.17i	 0.669-0.132i	 1.809+0.983i	-0.894-0.404i	 0.722+0.963i	 0.178+0.132i	 1.618+0.997i	 1.549-0.432i	 1.941+1.25i	-0.656+1.459i	 0.076+0.397i	 0.811+0.72i	 0.094+0.667i	 0.071+0.208i	 0.552+1.362i
 0.78+0.196i	 1.946+0.574i	 0.931+1.007i	 0.593+1.168i	-0.073+1.036i	 0.986+0.902i	 1.102+0.669i	-0.362-0.39i	-0.709-0.592i	 1.601-0.582i	 0.209+1.167i	-0.321-0.756i	-0.72+1.917i	-0.318+0.949i	 0.46+1.316i	 0.689+1.731i	 1.486-0.561i	 1.573+0.789i	 1.549-0.508i	-0.938+0.148i
 0.402+0.087i	 0.394+0.039i	-0.278-0.917i	-0.265+1.553i	-0.975+0.938i	-0.555+0.504i	 0.11+0.626i	 1.443+0.65i	-0.148+0.924i	-0.67+1.033i	 0.555+1.835i	-0.526+0.544i	 0.412+1.491i	 1.958-0.189i	-0.516+1.89i	-0.05+0.401i	 0.014+1.825i	 1.311-0.339i	-0.092+1.181i	-0.335-0.888i
 1.516-0.277i	 0.652+1.664i	-0.821-0.914i	 1.791+0.94i	 0.886+0.748i	-0.016-0.029i	 1.619+1.899i	 1.721+1.112i	 0.67+1.4i	-0.091+0.4i	-0.501-0.674i	 0.889+0.332i	-0.177+0.402i	 0.363-0.532i	-0.298-0.282i	 0.299+1.026i	 1.428+0.207i	 1.955+0.46i	 0.704+0.941i	-0.242-0.399i
 1.443+1.994i	 0.743+1.631i	 0.455+0.11i	 1.323+0.344i	 0.718+0.287i	-0.914+1.457i	 0.63+1.506i	 0.499-0.172i	 1.53-0.487i	-0.058+0.99i	 0.35-0.686i	-0.759+0.367i	 1.028+1.984i	 1.469+0.422i	 1.691-0.526i	-0.014+1.463i	-0.466-0.951i	 0.923+0.633i	 1.282+1.401i	 1.2-0.266i
 0.441-0.624i	-0.895+0.985i	 0.244-0.418i	-0.51+1.063i	 0.715+0.092i	 0.642-0.96i	-0.952+0.459i	 1.127+1.797i	 0.478+1.754i	 0.722+1.71i	 1.937+1.479i	 1.137-0.753i	 0.919+1.218i	-0.696+0.69i	-0.144+0.126i	 0.072+1.339i	 1.841+0.195i	 0.245+1.598i	 1.551-0.05i	-0.333+1.781i
 0.043+0.6i	 0.183+1.789i	-0.427-0.318i	-0.833-0.893i	 0.214+1.315i	-0.504+0.736i	-0.122-0.955i	 1.121+0.502i	 1.539+0.435i	 0.632-0.116i	 1.248+0.843i	 0.968+1.769i	-0.243-0.929i	 0.175-0.711i	 0.84+1.29i	-0.611+0.106i	 0.683+0.369i	 1.014+0.702i	 1.549-0.137i	 0.491-0.734i
 0.97+0.273i	 1.803+0.838i	-0.143+1.255i	-0.309+1.033i	 0.423-0.909i	 1.093-0.412i	 1.499-0.24i	 1.95+0.99i	 0.148-0.803i	 0.442+1.221i	-0.107-0.125i	 0.202-0.568i	 0.631+0.859i	 0.758+0.464i	 1.622+1.736i	 0.384+0.747i	 1.518+0.127i	-0.699+0.631i	 0.456+0.12i	 1.413+1.512i
 0.718-0.321i	-0.269-0.919i	 0.394+0.921i	-0.716-0.267i	 1.071+1.875i	-0.968-0.01i	 1.31+1.265i	 0.891+0.796i	 1.071+0.984i	 0.185+1.949i	 0.125-0.135i	-0.007+0.835i	-0.602-0.123i	 0.705+0.892i	 1.295-0.952i	 0.599-0.862i	-0.849-0.48i	-0.742+0.813i	 1.533-0.32i	 0.236+0.891i
 1.013+1.113i	 0.308+1.891i	-0.156-0.359i	-0.441-0.128i	-0.879+1.021i	 1.975+1.384i	 1.916+1.056i	 1.996+1.209i	 1.167-0.07i	 0.474+1.201i	 0.818+1.811i	 0.433-0.179i	 1.198+1.822i	 0.027+0.291i	 1.264-0.4i	 1.119+1.495i	-0.97+0.56i	-0.823+1.711i	 0.633+1.429i	 1.061+1.367i
 1.634+0.578i	 1.118+1.509i	-0.181+0.118i	 0.88+0.252i	 0.929+1.136i	 1.01-0.541i	 1.451+1.85i	 0.623-0.668i	 1.42+0.174i	-0.772-0.757i	 0.371-0.578i	 0.827+0.987i	 0.315-0.758i	-0.622+1.9i	 0.76-0.82i	 0.39-0.658i	 1.717+1.523i	-0.886+1.995i	 0.892+1.077i	 0.796+0.003i
